point	fid	iconSize	title	description	icon
-1935,1992.5	1	15,18	T.A. 3019, 8 March	Frodo and Sam leave Faramir at Henneth Ann&ucirc;n with Gollum as their guide.	http://lotrproject.com/timeline/marker.png
-1948,1547.5	3	15,18	T.A. 3019, 8 March	Aragorn takes the Paths of the Dead at daybreak reaching the Stone of Erech at midnight.	http://lotrproject.com/timeline/marker.png
-2013.5,1963.5	5	15,18	T.A. 3019, 9 March	Gandalf and Pippin reach Minas Tirith.	http://lotrproject.com/timeline/marker.png
-1936.5,1992.5	6	15,18	T.A. 3019, 9 March	Faramir leaves Henneth Ann&ucirc;n for Cair Andros.	http://lotrproject.com/timeline/marker.png
-2015.5,2024.5	7	15,18	T.A. 3019, 9 March	Frodo, Sam and Gollum reach the Morgul Road at dusk.	http://lotrproject.com/timeline/marker.png
-2018.5,1967	8	15,18	T.A. 3019, 15 March	The Witch King breaks the gates of Minas Tirith.	http://lotrproject.com/timeline/marker.png
-2020,1967	9	15,18	T.A. 3019, 15 March	Denethor tries to burn himself and Faramir on a pyre. Faramir is rescued.	http://lotrproject.com/timeline/marker.png
-2015,1975.5	10	15,18	T.A. 3019, 15 March	The horns of the Rohirrim echo in the sides of Mindolluin at cockcrow. King Th&eacute;oden of Rohan dies on Pelennor Fields, mortally wounded by the Witch King.	http://lotrproject.com/timeline/marker.png
-2021.5,1974.5	11	15,18	T.A. 3019, 16 March	The Last Debate is held outside Minas Tirith and it is decided that they shall muster an army and fight against Sauron.	http://lotrproject.com/timeline/marker.png
-908,2061.5	13	15,18	T.A. 3019, 17 March	Battle of Dale takes place where both King Brand and King Dain Ironfoot die.	http://lotrproject.com/timeline/marker.png
-1928.5,2243.5	14	15,18	T.A. 3019, 17 March	Shagrat is slain after bringing Frodo's cloak, mithril shirt and sword to Barad-d&ucirc;r.	http://lotrproject.com/timeline/marker.png
-2019.5,1966.5	16	15,18	T.A. 3019, 20 March	Faramir and &Eacute;owyn meet in the Houses of Healing.	http://lotrproject.com/timeline/marker.png
-1213,1459	26	15,18	T.A. 3019, 8 January	The Fellowship of the Ring reach Hollin and they spot the Crebain.	http://lotrproject.com/timeline/marker.png
-1396.5,1807	20	15,18	T.A. 2460	Sauron returns to Dol Guldur, The Watchful Peace ends.	http://lotrproject.com/timeline/marker.png
-1164,955	21	15,18	T.A. 1601	Creation of the Shire; the count of years in Shire Reckoning begins with year 1.	http://lotrproject.com/timeline/marker.png
-1071.5,1509.5	24	15,18	T.A. 3	Ohtar brings Shards of Narsil to Imladris.	http://lotrproject.com/timeline/marker.png
-1240,1452.5	27	15,18	T.A. 3019, 11 January	The Fellowship of the Ring camps at the foot of the Redhorn Pass. They try to cross the pass at night but are unsuccessful.	http://lotrproject.com/timeline/marker.png
-1265.5,1447.5	75	15,18	T.A. 3019, 13 January	The Fellowship is attacked by Wolves in the early hours of the day.	http://lotrproject.com/timeline/marker.png
-1327,1510	31	15,18	T.A. 3019, 25 January	Gandalf casts down the Balrog from the peak of Celebdil, and passes away afterwards. 	http://lotrproject.com/timeline/marker.png
-1419.5,1649.5	32	15,18	T.A. 3019, 15 February	The Fellowship of the Ring rests in L&oacute;rien. Frodo is shown The Mirror of Galadriel.	http://lotrproject.com/timeline/marker.png
-1420.5,1649.5	33	15,18	T.A. 3019, 17 February	Gwaihir bears Gandalf to Lothl&oacute;rien.	http://lotrproject.com/timeline/marker.png
-1745.5,1401.5	34	15,18	T.A. 3019, 25 February	First Battle of the Fords of Isen during which Th&eacute;odred son of Th&eacute;oden is slain.	http://lotrproject.com/timeline/marker.png
-1073.5,1509	36	15,18	T.A. 3018, 25 October	Council of Elrond held in Imladris	http://lotrproject.com/timeline/marker.png
-1119,1037	37	15,18	T.A. 3018, 28 September	Frodo and his companions traverse the Barrow-downs and are captured by a Barrow-wight. Tom Bombadil rescues them, gives them weapons and four ponies and suggests to visit the Prancing Pony at Bree.	http://lotrproject.com/timeline/marker.png
-1746,1402	38	15,18	T.A. 3018, 18 September	The Black Riders cross the Fords of Isen.	http://lotrproject.com/timeline/marker.png
-1073.5,1509	39	15,18	T.A. 3018, 18 December	The members of the Fellowship of the Ring are chosen.	http://lotrproject.com/timeline/marker.png
-1075.5,1509.5	40	15,18	T.A. 3018, 25 December	The Fellowship of the Ring leaves Rivendell.	http://lotrproject.com/timeline/marker.png
-1073,1509	41	15,18	T.A. 3019, 5 October	Gandalf, Frodo, Sam, Merry and Pippin leave Rivendell.	http://lotrproject.com/timeline/marker.png
-1664.5,1400.5	42	15,18	T.A. 3019, 15 August	Treebeard releases Saruman from Orthanc.	http://lotrproject.com/timeline/marker.png
-1946.5,2175	44	15,18	T.A. 3019, 25 March	Frodo and Samwise reach the Sammath Naur, the ring is destroyed, and Sauron defeated.	http://lotrproject.com/timeline/marker.png
-1920,2229.5	47	15,18	S.A. 3434	Battle of Dagorlad and the Siege of Barad-d&ucirc;r.	http://lotrproject.com/timeline/marker.png
-1932.5,2197.5	48	15,18	S.A. 3441	Defeat of Sauron and death of Gil-galad and Elendil.	http://lotrproject.com/timeline/marker.png
-1822.5,2024	53	15,18	T.A. 3019, 24 March	The Host of the West set up a camp outside  of the Morannon.	http://lotrproject.com/timeline/marker.png
-2020,1967.5	54	15,18	T.A. 3019, 1 May	Coronation of King Aragorn Elessar. He bids Faramir to remain Steward of Gondor.	http://lotrproject.com/timeline/marker.png
-1089.5,896.5	55	15,18	T.A. 3019, 3 November	Battle of Bywater and death of Saruman and Gr&iacute;ma Wormtongue. This marks the end of the War of the Ring.	http://lotrproject.com/timeline/marker.png
-1389,1800	58	15,18	T.A. 3019, 28 March	Celeborn crosses the river Anduin and leads an attack on Dol Guldur. Galadriel throws down its walls.	http://lotrproject.com/timeline/marker.png
-1088.5,889	68	15,18	T.A. 3018, 12 April	Gandalf reaches Hobbiton.	http://lotrproject.com/timeline/marker.png
-1422,1651.5	69	15,18	T.A. 3019, 20 May	Arwen and Elrond come to Lothl&oacute;rien where they will stay for one week before continuing their journey to Minas Tirith.	http://lotrproject.com/timeline/marker.png
-1093.5,1075.5	70	15,18	T.A. 3018, 29 September	Frodo and his companions reach Bree at night and stay at the Prancing Pony.	http://lotrproject.com/timeline/marker.png
-1082.5,1209	73	15,18	T.A. 3018, 6 October	The four Hobbits and Aragorn reach Weathertop at noon. Their camp is raided by the Black Riders at night and Frodo is stabbed with a Morgul Blade by the Witch King.	http://lotrproject.com/timeline/marker.png
-1333.5,1441.5	28	15,18	T.A. 3019, 13 January	The Fellowship reach the West-gate of Moria at nightfall where they are attacked by the Watcher.	http://lotrproject.com/timeline/marker.png
-1090,889.5	76	15,18	T.A. 3018, 23 September	One of the Black Riders comes to Hobbiton at nightfall.	http://lotrproject.com/timeline/marker.png
-1223,1006.5	77	15,18	T.A. 3018, 22 September	The Black Riders reach Sarn Ford and drive off the Rangers guarding it.	http://lotrproject.com/timeline/marker.png
-1119,994.5	78	15,18	T.A. 3018, 26 September	The four Hobbits encounter the evil tree Old Man Willow and are rescued by Tom Bombadil. They spend the night at Tom's house.	http://lotrproject.com/timeline/marker.png
-1815,2006	79	15,18	T.A. 3019, 2 March	Frodo, Sam and Gollum finally reach the end of the Dead Marshes.	http://lotrproject.com/timeline/marker.png
-1326.5,1512	80	15,18	T.A. 3019, 15 January	Gandalf falls from the Bridge of Khazad-D&ucirc;m with the balrog &quot;Durin's Bane&quot;.	http://lotrproject.com/timeline/marker.png
-1333.5,1528	81	15,18	T.A. 3019, 15 January	The Fellowship leave Moria and enter Dimrill Dale. Gimli, Frodo and Sam gaze in Mirrormere.	http://lotrproject.com/timeline/marker.png
